parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
13135747,,,,0,0,,,,,,1776,1776,,,,,6037,,,,,,,34115061,-117752634,,,,,,,070P,263,,60374016.01,39308,3101,,96494,0,,,,,,,1976,,,,,2016,,434.23,,,
13135947,,,,0,0,,,,,,1596,1596,,,,,6037,,,,,,,34046387,-117815445,,,,,,,070P,263,,60374024.03,20008,3101,,96508,0,,,,,,,1999,,,,,2016,,450.77,,,
13136147,,,,0,0,,,,,,1040,1040,,,,,6037,,,,,,,34021582,-117915892,,,,,,,070P,263,,60374081.38,118217,3101,,96488,0,,,,,,,1989,,,,,2016,,261.51,,,
13136347,,,,0,0,,,,,,1512,1512,,,,,6037,,,,,,,34024753,-117915266,,,,,,,070P,263,,60374081.33,118217,3101,,96488,0,,,,,,,1998,,,,,2016,,661.3,,,
13136547,,,,0,0,,,,,,1440,1440,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1982,,,,,2016,,301.9,,,
13136747,,,,0,0,,,,,,1344,1344,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1980,,,,,2016,,198.8,,,
13136947,,,,0,0,,,,,,1440,1440,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1998,,,,,2016,,565.6,,,
13137147,,,,0,0,,,,,,1456,1456,,,,,6037,,,,,,,34621824,-118224390,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,1999,,,,,2016,,659.34,,,
13137347,,,,0,0,,,,,,1056,1056,,,,,6037,,,,,,,34619963,-118221259,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,2003,,,,,2016,,815.72,,,
13137547,,,,0,0,,,,,,1120,1120,,,,,6037,,,,,,,34619963,-118221259,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,1985,,,,,2016,,568.6,,,
13137747,,,,0,0,,,,,,1792,1792,,,,,6037,,,,,,,34316857,-118401876,,,,,,,070P,263,,60371061.11,12447,3101,34213,96368,0,,,,,,,1989,,,,,2016,,566.19,,,
13137947,,,,0,0,,,,,,1200,1200,,,,,6037,,,,,,,34558548,-118109732,,,,,,,700,263,,60379105.05,40227,3101,,97328,0,,,,,,,1985,,,,,2016,,224.11,,,
13138147,,,,0,0,,,,,,1152,1152,,,,,6037,,,,,,,33930195,-118229419,,,,,,,700,263,,60375404,,3101,,96040,0,,,,,,,1977,,,,,2016,,201.6,,,
13138347,,,,0,0,,,,,,1036,1036,,,,,6037,,,,,,,34428643,-118482122,,,,,,,700,263,,60379200.29,54311,3101,37739,96374,0,,,,,,,2002,,,52630,71397,2016,18767,1239.93,,,
13138547,,,,0,0,,,,,,1311,1311,,,,,6037,,,,,,,34429346,-118485725,,,,,,,700,263,,60379200.29,54311,3101,37739,96374,0,,,,,,,1992,,,60178,78945,2016,18767,1584.45,,,
13871747,,,,2.5,3,,,2.5,,,1821,1821,,,,,6059,,2,2,458,,,33863685,-117938506,2442,,,,,,1,261,,60590111.02,24812,1286,,97040,0,,1,,,,,2013,,,265668,537949,2016,272281,6173.72,,,
13951347,,,,3.5,4,,,3.5,,,2684,2684,,,,,6059,,3,2,420,,,33748083,-117948108,3510,,,,,,1,261,,60590889.04,34780,1286,,96990,0,,1,,,,,2014,,,395167,644990,2016,249823,7572.58,,,
13963347,,,,2.5,3,,,2.5,,,2284,2284,,,,,6059,,2,2,525,,,33687181,-117753231,3398,,,,,,1,261,,60590524.18,52650,1286,276581,96954,0,,1,,,,,2014,,,478915,934353,2016,455438,13273.94,,,
14097747,,,,0,0,,,,,,15341,,,,,15341,6059,,,,,,,33800071,-118070627,32972,,,,,,128,47,,60591100.14,46314,1286,,96218,0,,,,2,,,1981,2,,1342517,1623249,2016,280732,20408.24,,,
14281747,,,,3,3,,,3,,,2342,2342,,,,,6059,,3,2,410,,,33646579,-117902609,3508,,,,,,1,261,,60590632.01,,1286,,96959,0,,,,,,,2014,,,401678,1170140,2016,768462,12861.66,,,
14284947,,,,3,4,,,3,,,2666,2666,,,,,6059,,3,2,441,,,33714381,-117821011,5145,,,,,,1,261,,60590755.15,,1286,,,0,,,,,,,2015,,,494837,926448,2016,431611,15751.54,,,
14285147,,,,0,0,,,,,,,,,,,,6059,,,,,,,33714381,-117821011,,,,,,,1,269,,60590755.15,,1286,,,0,,,,,,,,,,,154638,2016,154638,6864.88,,,
14310947,,,,3,4,,,3,,,2642,2642,,,,,6059,,3,2,428,,,33659879,-117808611,3663,,,,,,1,261,,60590626.12,,1286,,96947,0,,,,,,,2013,,,408176,1422754,2016,1014578,14398.86,,,
14341547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33737185,-117751869,,,,,,,1,269,,60590524.2,52650,1286,403127,96939,0,,,,,,,,,,,17021,2016,17021,4543.6,,,
14341747,,,,0,0,,,,,,,,,,,,6059,,,,,,,33738284,-117751847,,,,,,,1,269,,60590524.2,,1286,,96939,0,,,,,,,,,,,17020,2016,17020,4543.58,,,
14355547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33710069,-117739091,,,,,,,1,269,,60590524.26,52650,1286,403197,96954,0,,,,,,,,,,,2716,2016,2716,4424.48,,,
14356347,,,,3.5,4,,,3.5,,,2393,2393,,,,,6059,,3,2,481,,,33686633,-117751314,3418,,,,,,1,261,,60590524.18,52650,1286,276486,96954,0,,1,,,,,2014,,,484712,947289,2016,462577,13376.86,,,
